Id,city,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,type_of_house,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
25086,Bahoriband,42,F,OBC,Goat rearing,Daily wage labourer,30000.0,2000.0,0,0,1.0,T2,2,400.0,0.0,0.5,Meat Businesses,12,12,10000.0
12982,Baharu,23,F,SC,Basket making business,none,12000.0,3700.0,0,2,1.0,T1,4,300.0,1.0,0.5,Handicrafts,12,50,5000.0
10040,Wadhwan,22,F,,Pattachitra,,0.0,4000.0,0,0,,R,0,0.0,0.0,,Handicrafts,12,12,5000.0
6290,Gwalior,34,F,OBC,Fast Food Stall,none,24000.0,3700.0,0,3,1.0,T2,5,600.0,1.0,0.5,Eateries,12,12,7500.0
22886,D.Barasat,35,F,G.C,Basket making business,none,12000.0,4000.0,0,2,1.0,T1,4,450.0,1.0,0.5,Handicrafts,12,50,5000.0
39280,KODANGAL MANDAL,45,F,BC,Gram cultivation,none,60000.0,4917.0,1,2,1.0,T1,4,250.0,0.0,0.5,Farming/ Agriculture,6,6,6000.0
18934,PUSAD,37,F,OBC,Mess Work,none,36000.0,4000.0,0,2,1.0,T2,2,1000.0,0.0,1.0,Eateries,12,12,7500.0
28268,Imphal,39,F,OBC,School,none,36000.0,2000.0,1,2,1.0,T2,3,1300.0,1.0,1.0,Education Loan,12,12,14000.0
32082,Mysore,33,F,Nayaka,Fast Food Stall,none,85000.0,5000.0,0,2,1.0,R,4,600.0,1.0,1.0,Eateries,12,12,10000.0
26273,Shantipur,30,F,Sechudle Cast,Saree business,none,54000.0,3200.0,0,1,1.0,T1,4,650.0,1.0,0.5,Apparels,12,50,8000.0
7357,Sambalpur,30,F,ST,Vegetable vendor,none,24000.0,4500.0,0,2,1.0,T1,4,300.0,1.0,0.5,Agro Based Businesses,12,12,5000.0
5333,PUSAD,40,F,ST,Broom and basket making,none,24000.0,5000.0,0,1,1.0,T2,5,800.0,1.0,0.5,Retail Sale,12,12,10000.0
30899,Bishnupur,43,F,OBC,Weaver,none,42000.0,2500.0,0,0,1.0,T2,4,1450.0,1.0,0.5,Apparels,12,12,12000.0
11618,Chandanpur,51,F,,Pattachitra,,0.0,5000.0,0,0,1.0,R,0,0.0,0.0,,Handicrafts,12,12,7500.0
37888,Moirang,26,F,OBC,Petty shop,none,50000.0,1000.0,0,2,1.0,T2,4,1200.0,1.0,1.0,Retail Store,12,12,8000.0
608,Jhabua,39,F,OBC,Grocery store,none,22000.0,3000.0,0,3,0.0,R,5,400.0,1.0,0.5,Agro Based Businesses,12,12,5000.0
5421,Nuapada,38,F,OBC,Tailoring,none,30000.0,2500.0,0,3,1.0,T1,1,112.0,1.0,0.5,Apparels,12,12,5000.0
32340,MORAR,28,F,OBC,Cow Rearing,none,48000.0,3500.0,0,3,1.0,T1,1,300.0,1.0,1.0,Animal husbandry,12,12,8000.0
24096,Pusad,49,F,Open,Mess Work,none,42000.0,2700.0,0,0,1.0,T2,2,400.0,1.0,1.0,Eateries,12,12,12000.0
10899,Godfula,31,F,,Carpenter/Wood business,,0.0,3300.0,0,0,1.0,T1,0,0.0,0.0,,Carpentery work,12,12,3000.0
34631,Periyapatna,35,F,Kuruba,Cow Rearing,Livestock rearing,48000.0,4000.0,0,2,1.0,T1,4,600.0,1.0,1.0,Animal husbandry,12,12,10000.0
31050,Pusad,30,F,OBC,School,none,54000.0,4000.0,0,2,1.0,T2,2,500.0,1.0,1.0,Education Loan,12,12,8000.0
39378,KODANGAL MANDAL,27,F,BC,Gram cultivation,none,50000.0,4000.0,0,1,1.0,T1,2,350.0,0.0,0.5,Farming/ Agriculture,6,6,6000.0
17285,PUSAD,28,F,OBC,Milk business,none,60000.0,3800.0,0,3,1.0,T2,2,600.0,0.0,1.0,Animal husbandry,12,12,15000.0
10990,Godfula,51,F,,Goat rearing,,0.0,2000.0,0,0,1.0,T1,0,0.0,0.0,,Meat Businesses,12,12,3000.0
24892,Joynagar,34,F,General,Readymade Garments,none,12000.0,4400.0,0,1,1.0,R,3,390.0,1.0,0.5,Apparels,12,50,8000.0
25108,Pusad,25,F,SC,Milk business,none,36000.0,3000.0,0,2,1.0,T2,2,800.0,1.0,1.0,Animal husbandry,12,12,8000.0
4196,Kozhinjampara,55,F,Hindu,Wet grinding,none,52800.0,4000.0,0,0,1.0,T1,2,3.0,1.0,0.5,Business Services - II,12,50,7500.0
38090,Digras,28,F,Muslim,Bakery,none,72000.0,2500.0,0,3,1.0,T2,4,800.0,1.0,1.0,Eateries,12,12,12000.0
37101,Ranjani,29,M,Open,Fabrication,none,150000.0,150000.0,0,0,1.0,T2,9,700.0,1.0,1.0,Construction Related Activities,24,24,120000.0
19008,PUSAD,45,F,SC,Basket making business,none,24000.0,2200.0,0,0,1.0,T2,2,100.0,0.0,1.0,Handicrafts,12,12,7500.0
26215,Bahoriband,52,F,OBC,Goat rearing,none,48000.0,3000.0,0,0,1.0,T2,2,400.0,0.0,0.5,Meat Businesses,12,12,12000.0
13917,Niligiri,22,F,General,Tamarind Selling Business,none,10800.0,3900.0,0,1,1.0,T2,3,220.0,0.0,1.0,Agro Based Businesses,12,12,5000.0
28564,SANDESHKHALI,23,F,OBC,Fish rearing,Daily wage labourer,54000.0,3800.0,0,2,1.0,T1,4,700.0,1.0,1.0,Meat Businesses,12,12,10000.0
10982,Godfula,30,F,,Vegetable cultivation,,0.0,3000.0,0,0,1.0,T1,0,0.0,0.0,,Farming/ Agriculture,12,12,3000.0
10810,Chandanpur,38,F,,Crown Making,,0.0,3000.0,0,0,1.0,T2,0,0.0,0.0,,Handicrafts,12,12,5000.0
13260,Sambalpur,40,F,OBC,Grocery store,none,40000.0,2800.0,0,1,1.0,T1,4,1000.0,0.0,1.0,Agro Based Businesses,12,12,5000.0
34282,RAJBARI,40,F,MINORITY,Transport business,Daily wage labourer,60000.0,4400.0,0,1,1.0,T1,3,800.0,1.0,1.0,Transportation Services,12,12,7000.0
12834,Wadhwan,33,F,,Artificial Jewellery Business,,0.0,1000.0,0,0,,R,0,0.0,0.0,,Artifical Jewellry Selling,12,12,5000.0
7430,KOLKATA,41,F,GENL,Hardware Work,none,45000.0,9000.0,0,0,1.0,T1,2,200.0,1.0,0.5,Construction Related Activities,12,12,8000.0
39459,KODANGAL MANDAL,37,F,BC,Gram cultivation,none,60000.0,4000.0,0,1,1.0,T1,2,500.0,0.0,0.5,Farming/ Agriculture,6,6,6000.0
23877,Muzaffarpur,35,F,Mynirity,Bangles business,none,40000.0,3000.0,0,2,1.0,R,3,400.0,1.0,1.0,Artifical Jewellry Selling,12,50,8000.0
21983,Motiganj,23,F,S.C.,Grocery store,Others,12000.0,3600.0,0,0,1.0,T2,3,280.0,0.0,1.0,Agro Based Businesses,12,12,8000.0
35470,Bhubaneswar,29,F,OBC,Cow Rearing,none,58000.0,3000.0,0,1,1.0,R,3,900.0,1.0,1.0,Animal husbandry,12,12,15000.0
12695,Jhabua,37,F,,Basket making business,,0.0,2800.0,0,0,1.0,T1,0,0.0,0.0,,Handicrafts,12,12,5000.0
21600,Shantipur,29,F,Minority,Handloom Work,none,22000.0,4000.0,0,2,1.0,T1,4,600.0,1.0,1.0,Handicrafts,12,50,10000.0
24828,Bahoriband,27,F,ST,Fish rearing,Daily wage labourer,36000.0,2000.0,0,0,1.0,T2,2,250.0,0.0,0.5,Meat Businesses,12,12,10000.0
13515,Baruipur,24,F,GC,Thread making,none,9600.0,4200.0,0,1,1.0,T1,3,400.0,1.0,0.5,Business Services - II,12,50,5000.0
16750,Dhule,42,F,OBC,Tailoring,none,48000.0,2000.0,0,1,1.0,R,2,600.0,1.0,1.0,Apparels,12,12,10000.0
21711,Sandeshkhali,25,F,ST,Pig rearing,Daily wage labourer,54000.0,4000.0,0,1,1.0,T1,3,850.0,1.0,1.0,Meat Businesses,12,12,5000.0
20249,PUSAD,40,F,SC,Flower Business,none,48000.0,2500.0,0,0,1.0,T2,1,600.0,0.0,1.0,Agro Based Businesses,12,12,12000.0
17747,PUSAD,28,F,VJNT,Grocery store,none,24000.0,3500.0,0,2,1.0,T2,2,600.0,1.0,1.0,Agro Based Businesses,12,12,10000.0
14830,Imphal,32,F,OBC,Weaver,Agriculture,48000.0,3000.0,0,2,1.0,T2,4,1300.0,1.0,0.5,Apparels,12,12,8000.0
34507,Digras,47,F,Muslim,Firewood,none,60000.0,2000.0,0,0,1.0,T2,1,400.0,1.0,1.0,Others,12,12,5000.0
25874,Bishnupur,31,F,OBC,Grocery store,none,36000.0,1000.0,0,1,1.0,T2,3,1800.0,1.0,0.5,Agro Based Businesses,12,12,8000.0
36582,Digras,37,F,OBC,Buffalo rearing,none,96000.0,4000.0,0,0,1.0,T2,5,600.0,1.0,1.0,Animal husbandry,12,12,3300.0
10727,Vasant Nagar,26,F,,Tailoring,,0.0,2000.0,0,0,1.0,T2,0,0.0,0.0,,Apparels,12,12,5000.0
37171,Pusad,46,F,OBC,Education Loan,none,96000.0,3500.0,0,1,1.0,T2,4,400.0,1.0,1.0,Education Loan,12,12,8000.0
37624,SAMBALPUR,46,F,OBC,Paddy cultivation,Others,56800.0,3800.0,0,0,1.0,T1,4,200.0,0.0,0.5,Farming/ Agriculture,12,12,8000.0
10728,Vasant  Nagar,40,F,,Stone carving,,0.0,2800.0,0,0,1.0,T2,0,0.0,0.0,,Handicrafts,12,12,7500.0
26519,Baruipur,40,F,General,Readymade Garments,none,14400.0,4000.0,0,0,1.0,R,2,750.0,1.0,0.5,Apparels,12,50,8000.0
7701,,27,F,,Cloth business,,0.0,3400.0,0,0,0.0,T1,0,0.0,0.0,,Apparels,12,50,5000.0
18508,Kumardhubi,67,F,Muslim,Vegetable vendor,none,60000.0,4000.0,1,0,1.0,T1,4,600.0,1.0,1.0,Agro Based Businesses,12,12,5000.0
32327,,50,F,sc,Vegetable cultivation,none,54000.0,1500.0,0,1,1.0,T2,4,750.0,0.0,0.5,Farming/ Agriculture,12,12,6000.0
37210,Balasore,39,F,SC,Education Loan,none,60000.0,5000.0,0,2,1.0,R,3,300.0,1.0,1.0,Education Loan,12,12,10000.0
19735,,31,F,Minerity,Milk business,none,36000.0,3000.0,0,2,1.0,R,5,400.0,0.0,1.0,Animal husbandry,12,12,5000.0
19827,Shantipur,27,F,General Caste,Handloom Work,none,18000.0,4000.0,0,2,1.0,T1,4,800.0,1.0,1.0,Handicrafts,12,50,10000.0
7913,Behraich,43,F,,Betel shop,,0.0,2750.0,0,0,1.0,R,0,0.0,0.0,,Tobacco Related Activities,12,12,5000.0
31627,GWALIOR,28,F,OBC,Grocery store,none,48000.0,3500.0,0,3,1.0,T1,2,700.0,1.0,1.0,Agro Based Businesses,12,12,8000.0
27740,Nanjangud,46,F,Telugu Shetty,Bangles business,none,36000.0,2000.0,0,0,1.0,T2,2,600.0,1.0,1.0,Artifical Jewellry Selling,12,12,10000.0
3051,Alathur,36,F,ST,Leaf Weaving,none,78000.0,5000.0,0,4,1.0,T1,2,4.0,1.0,0.5,Agro Based Businesses,12,50,7500.0
6751,Kozhinjampara,49,F,Boyar,Goat rearing,none,81000.0,5500.0,0,1,1.0,T1,3,3.0,1.0,0.5,Meat Businesses,12,50,7500.0
14051,Pune,36,F,Muslim,11th and 12th,none,30000.0,5000.0,0,2,1.0,R,4,500.0,0.0,1.0,Education Loan,12,12,9000.0
8716,Chandanapur,30,F,,Wicks making,,0.0,1800.0,0,0,1.0,R,0,0.0,0.0,,Business Services - II,12,12,5000.0
5391,Nuapada,37,F,OBC,Goat rearing,none,30000.0,2500.0,0,3,1.0,T1,1,114.0,1.0,0.5,Meat Businesses,12,12,5000.0
27071,Parola,35,M,NT,Vegetable cultivation,none,50000.0,1000.0,0,3,1.0,T2,1,500.0,0.0,0.5,Farming/ Agriculture,12,12,10000.0
507,Kolkata,27,F,General,Readymade Garments,none,60000.0,8000.0,0,1,1.0,T2,3,200.0,1.0,0.5,Apparels,12,12,5000.0
34185,Pusad,45,F,NT,Tailoring,none,72000.0,3500.0,0,0,1.0,T2,2,1000.0,1.0,1.0,Apparels,12,12,12000.0
10789,Puri,31,F,,Readymade Garments,,0.0,3000.0,0,0,1.0,T2,0,0.0,0.0,,Apparels,12,12,5000.0
2137,Niligiri,33,F,General,Stationery Shop,Others,12000.0,4000.0,0,2,1.0,T2,4,325.0,1.0,0.5,Retail Store,12,12,5000.0
19141,MUZAFFARPUR,22,F,OBC,Grocery store,Agriculture,60000.0,5000.0,0,0,1.0,R,3,100.0,1.0,1.0,Agro Based Businesses,12,50,8000.0
32458,Kakching,26,F,OBC,Weaver,none,56000.0,1500.0,0,2,1.0,T2,4,1500.0,1.0,1.0,Apparels,12,12,8000.0
35140,Bahoriband,46,F,OBC,Goat rearing,none,48000.0,2000.0,0,0,1.0,T2,2,250.0,0.0,0.5,Meat Businesses,12,12,10000.0
9099,Mohapur,31,M,,General store,,0.0,1800.0,0,0,1.0,T2,0,0.0,0.0,,Retail Store,12,12,5000.0
25313,Pusad,30,F,Muslim,Tailoring,none,12000.0,3000.0,0,3,1.0,T2,2,600.0,1.0,1.0,Apparels,12,12,8000.0
8277,Mathurapur,30,F,,Embroidery work,,0.0,3500.0,0,0,1.0,,0,0.0,0.0,,Handicrafts,12,50,6000.0
20434,Sandeshkhali,28,F,SC,Paddy processing,Daily wage labourer,60000.0,4500.0,0,2,1.0,T1,4,1000.0,1.0,1.0,Agro Based Businesses,12,12,5000.0
34795,Indore,50,F,Malviya,Vegetable vendor,none,120000.0,8000.0,0,0,1.0,T1,2,500.0,1.0,0.5,Agro Based Businesses,12,12,8000.0
11380,Khutbanbhera,38,F,,Fish vendor,,0.0,4000.0,0,0,1.0,T2,0,0.0,0.0,,Meat Businesses,12,12,5000.0
4366,Daspalla,35,F,S.C,Carpenter/Wood business,none,1800.0,3000.0,0,0,1.0,T2,3,540.0,1.0,0.5,Carpentery work,12,12,5000.0
8853,Palakkad,38,F,,Tea stall,,0.0,5700.0,0,0,1.0,T1,0,0.0,0.0,,Eateries,12,50,5000.0
3753,Muzaffarpur,35,F,Kanu,Sweets shop,none,84000.0,7000.0,0,2,1.0,T2,5,130.0,1.0,0.5,Eateries,12,50,5000.0
37360,,46,F,OBC,Vegetable cultivation,none,62000.0,4500.0,0,0,1.0,T2,3,650.0,0.0,1.0,Farming/ Agriculture,12,12,12000.0
33949,T. Narsipura,20,F,SC,Tailoring,none,48000.0,4000.0,1,0,1.0,T2,4,600.0,1.0,1.0,Apparels,12,12,10000.0
20071,Shantipur,37,F,General Caste,Handloom Work,none,18000.0,3500.0,0,2,1.0,T1,4,700.0,1.0,1.0,Handicrafts,12,50,10000.0
19751,Baruipur,44,F,S.C.,Fish vendor,none,12000.0,4500.0,0,0,1.0,R,4,400.0,1.0,0.5,Meat Businesses,12,50,8000.0
14866,Kozhinjampara,42,F,OBC,Goat rearing,none,66000.0,4800.0,0,4,1.0,T1,2,3.0,1.0,1.0,Meat Businesses,12,50,10000.0
10514,Chandrapuram,41,F,,Milk products,,0.0,4000.0,0,0,1.0,R,0,0.0,0.0,,Animal husbandry,12,50,7500.0
177,Yavatmal,40,F,OBC,Tailoring,none,0.0,2700.0,0,1,1.0,T2,4,600.0,1.0,0.5,Apparels,12,12,5000.0
14922,Kozhinjampara,28,F,OBC,Tailoring,none,66000.0,4200.0,0,1,1.0,T1,2,3.0,1.0,1.0,Apparels,12,50,10000.0
10510,Kozhipara,40,F,,Wet grinding,,0.0,4500.0,0,0,1.0,T1,0,0.0,0.0,,Business Services - II,12,50,7500.0
9200,Nuapada,47,F,,Vegetable vendor,,0.0,3000.0,0,0,1.0,T1,0,0.0,0.0,,Agro Based Businesses,12,12,3000.0
29072,GWALIOR,35,F,OBC,Dona plate making,none,60000.0,3000.0,0,2,1.0,R,1,300.0,0.0,1.0,Handicrafts,12,12,8000.0
6691,Kozhinjampara,34,F,Christian,Fish vendor,none,68400.0,4800.0,0,3,1.0,T2,2,5.0,1.0,0.5,Meat Businesses,12,50,7500.0
12789,Wadhwan,41,F,,Beauty salon,,0.0,6000.0,0,0,1.0,R,0,0.0,0.0,,Beauty Salon,12,12,5000.0
35108,Imphal,43,F,OBC,Grocery store,none,59000.0,3000.0,0,0,1.0,T2,3,1500.0,1.0,0.5,Agro Based Businesses,12,12,15000.0
28320,Imphal,42,F,OBC,School,none,42000.0,1500.0,0,2,1.0,T2,4,5850.0,1.0,0.5,Education Loan,12,12,14000.0
18572,Bahoriband,38,F,OBC,Cow Rearing,Daily wage labourer,48000.0,2800.0,0,0,1.0,T2,2,4000.0,0.0,0.5,Animal husbandry,12,12,5000.0
24547,Muzaffarpur,35,F,sc,Vegetable cultivation,Agriculture,40000.0,3000.0,0,1,1.0,R,3,1200.0,1.0,1.0,Farming/ Agriculture,12,12,10000.0
6628,Joynagar,34,F,GC,Fish vendor,none,12000.0,5000.0,0,2,1.0,T1,4,400.0,1.0,0.5,Meat Businesses,12,50,5000.0
30865,Pune,40,F,Maratha,School,none,110000.0,10000.0,0,3,1.0,T1,4,150.0,1.0,1.0,Education Loan,12,12,12000.0
37224,Pusad,35,F,Muslim,Grocery store,none,48000.0,2000.0,0,1,1.0,T2,1,600.0,1.0,1.0,Agro Based Businesses,12,12,8000.0
3711,Daspalla,35,F,OBC,Vegetable vendor,none,2300.0,3000.0,0,3,1.0,R,4,580.0,1.0,0.5,Agro Based Businesses,12,12,5000.0
23428,,26,F,OBC,Tailoring,none,45000.0,3500.0,0,0,1.0,T2,2,700.0,0.0,0.0,Apparels,12,12,5000.0
25728,Baruipur,53,F,S.C.,Polythene Making,none,12000.0,3700.0,0,0,1.0,T1,2,400.0,1.0,0.5,Miscellaneous,12,50,12000.0
28881,Pune,42,F,Madrasi,Mess Work,none,108000.0,3000.0,0,1,1.0,R,3,150.0,0.0,1.0,Eateries,12,12,7000.0
27477,Pune,41,M,Mahar,School,none,108000.0,10000.0,0,3,1.0,T1,6,150.0,1.0,1.0,Education Loan,12,12,12000.0
39105,Pusad,35,F,OBC,Snacks business,none,60000.0,4000.0,0,2,1.0,T2,3,600.0,1.0,1.0,Food Items,12,12,8000.0
36459,Balasore,34,F,Gen,Education Loan,none,60000.0,5000.0,0,2,1.0,T2,4,300.0,1.0,1.0,Education Loan,12,12,20000.0
36954,Nilgiri,43,F,ST,Groundnuts business,none,60000.0,5000.0,0,0,1.0,R,4,280.0,1.0,1.0,Agro Based Businesses,12,12,8000.0
36707,Gwalior,34,F,Obc,Education Loan,none,120000.0,8000.0,0,3,1.0,R,5,450.0,1.0,0.5,Education Loan,12,12,20000.0
7554,PUSAD,40,F,OPEN,Tailoring,none,18000.0,3000.0,0,0,1.0,T2,2,600.0,1.0,0.5,Apparels,12,12,7500.0
18569,Bahoriband,23,F,OBC,Cow Rearing,none,48000.0,2800.0,0,0,1.0,T1,2,400.0,0.0,0.5,Animal husbandry,12,12,5000.0
14116,PUSAD,45,F,SC,Grocery store,none,12000.0,2800.0,0,0,1.0,T2,2,400.0,0.0,1.0,Agro Based Businesses,12,12,5000.0
27552,GWALIOR,35,F,OBC,Snacks business,none,57000.0,3500.0,0,4,1.0,T2,2,600.0,0.0,1.0,Food Items,12,12,8000.0
22951,PUSAD,39,F,OBC,School,none,36000.0,5000.0,0,1,1.0,T2,2,800.0,1.0,1.0,Education Loan,12,12,5000.0
23118,Imphal,46,F,OBC,Rice business,none,30000.0,1500.0,0,0,1.0,T2,3,2000.0,1.0,0.5,Agro Based Businesses,12,12,12000.0
8282,Mathurapur,38,F,,Decoration items sale,,0.0,4400.0,0,0,1.0,,0,0.0,0.0,,Retail Sale,12,50,6000.0
36298,Thoubal,35,F,OBC,Weaver,none,53200.0,1500.0,0,4,1.0,T2,6,1400.0,1.0,0.5,Apparels,12,12,8000.0
34691,indore,33,F,balai,Goat rearing,Daily wage labourer,60000.0,4000.0,0,2,1.0,T1,4,240.0,1.0,0.5,Meat Businesses,12,12,8000.0
37059,Bahoriband,46,F,SC,Goat rearing,none,48000.0,2500.0,0,2,1.0,T2,2,450.0,0.0,0.5,Meat Businesses,12,12,10000.0
14523,PUSAD,21,F,OBC,Tailoring,none,12000.0,2500.0,0,1,1.0,T2,2,400.0,0.0,1.0,Apparels,12,12,5000.0
6988,Sahada,24,F,SC,Goat rearing,Others,8400.0,3700.0,0,2,1.0,T2,4,310.0,1.0,0.5,Meat Businesses,12,12,5000.0
32009,Pusad,29,F,OBC,Mess Work,none,60000.0,3000.0,0,1,1.0,T2,2,200.0,1.0,1.0,Eateries,12,12,8000.0
2085,Pusad,45,F,OBC,Milk business,none,18000.0,3000.0,0,0,1.0,T2,3,800.0,1.0,0.5,Animal husbandry,12,12,5000.0
35702,Imphal,35,F,OBC,Vegetable cultivation,none,54000.0,1500.0,0,3,1.0,T2,5,1600.0,1.0,0.5,Farming/ Agriculture,12,12,8000.0
1400,Niligiri,45,F,General,Puffed rice business,none,12000.0,3000.0,0,0,1.0,T1,3,300.0,1.0,0.5,Eateries,12,12,5000.0
28933,Santipur,33,F,Gen,Handloom Work,none,60000.0,3300.0,0,2,1.0,T1,4,600.0,1.0,1.0,Handicrafts,12,50,8000.0
30649,SANDESHKHALI,36,F,S.T,Fish rearing,Daily wage labourer,54000.0,4100.0,0,1,1.0,T1,3,650.0,1.0,1.0,Meat Businesses,12,12,5000.0
28570,D.Barasat,47,F,S.C,Artificial Flower Making,none,59200.0,4100.0,0,2,1.0,R,4,330.0,1.0,0.5,Flower Business,12,50,15000.0
9076,Mathurapur,27,F,,Poultry farm,,0.0,1900.0,0,0,1.0,,0,0.0,0.0,,Meat Businesses,12,50,5000.0
30953,,46,F,OBC,Cow Rearing,none,44000.0,1500.0,0,1,1.0,T2,4,750.0,1.0,1.0,Animal husbandry,12,12,10000.0
9308,Kodumur,40,F,,Centering Work,,0.0,4000.0,0,0,1.0,R,0,0.0,0.0,,Construction Related Activities,12,52,5000.0
8732,Kendrapara,41,F,,Poultry farm,,0.0,4000.0,0,0,1.0,T2,0,0.0,0.0,,Meat Businesses,12,12,2000.0
29015,Joynagar,35,F,G.C,Thread making,none,60000.0,3500.0,0,2,1.0,T1,4,530.0,1.0,0.5,Business Services - II,12,50,10000.0
30656,SANDESHKHALI,45,F,GEN,Paddy processing,Daily wage labourer,54000.0,4000.0,0,1,1.0,T1,3,700.0,1.0,1.0,Agro Based Businesses,12,12,5000.0
23946,Shanti Pur,46,F,Schduled Cast,Saree business,none,54000.0,3200.0,0,0,1.0,T1,4,950.0,1.0,1.0,Apparels,12,50,10000.0
31854,pusad,29,F,obc,Beauty parlour,none,72000.0,4000.0,0,2,1.0,T1,3,500.0,1.0,1.0,Beauty Salon,12,12,12000.0
5670,Bhubaneswar,40,F,OBC,Betel shop,Agriculture,48000.0,3000.0,0,1,1.0,T1,3,900.0,1.0,0.5,Tobacco Related Activities,12,12,5000.0
27602,Pusad,35,F,Open,Tailoring,none,24000.0,3500.0,0,3,1.0,T2,2,600.0,1.0,1.0,Apparels,12,12,12000.0
22833,Biharsharif,27,F,BC,Buffalo rearing,Agriculture,24000.0,2000.0,0,2,1.0,T2,4,450.0,0.0,0.5,Animal husbandry,12,12,8000.0
10824,Chandanpur,30,F,,Pottery making,,0.0,3100.0,0,0,1.0,T2,0,0.0,0.0,,Handicrafts,12,12,5000.0
8455,Pusad,40,F,,Saree business,,0.0,3500.0,0,0,1.0,T2,0,0.0,0.0,,Apparels,12,12,5000.0
15743,Parola,40,M,OBC,Cash crops,Daily wage labourer,62000.0,3000.0,0,1,1.0,R,1,600.0,1.0,1.0,Farming/ Agriculture,12,12,10000.0
14112,PUSAD,35,F,SC,Centering Work,none,48000.0,3500.0,0,3,1.0,T2,2,300.0,1.0,1.0,Construction Related Activities,12,12,5000.0
35937,KR Nagar,37,M,okkaliga,Tailoring,none,60000.0,5000.0,0,1,1.0,T1,3,550.0,1.0,1.0,Apparels,12,12,10000.0
36400,Pusad,38,F,OBC,Utensils selling,none,36000.0,2500.0,0,2,1.0,T2,2,500.0,1.0,1.0,Retail Sale,12,12,8000.0
32991,Sambalpur,52,F,ST,Cycle Repairing Shop,Others,54000.0,2400.0,1,1,1.0,T1,5,250.0,0.0,0.5,Repair Services,12,12,15000.0
24721,Muzaffarpur,30,F,OBC,Cow Rearing,Agriculture,40000.0,3000.0,0,2,1.0,R,4,3520.0,1.0,1.0,Animal husbandry,12,12,10000.0
4441,Puri,35,M,OBC,Book store,none,30000.0,2000.0,0,0,1.0,T1,2,200.0,1.0,0.5,Retail Store,12,12,5000.0
19500,Shantipur,42,F,Sechudle Caste,Saree business,none,24000.0,4000.0,0,0,1.0,T1,4,900.0,1.0,1.0,Apparels,12,50,11000.0
4399,Nuapada,53,F,OBC,Sweets shop,none,42000.0,3500.0,0,0,1.0,T1,1,110.0,1.0,0.5,Eateries,12,12,5000.0
24413,Shantipur,39,F,Schudle Cast,Handloom Work,none,60000.0,3300.0,0,0,1.0,R,3,750.0,1.0,1.0,Handicrafts,12,50,15000.0
18615,Shantipur,26,F,Sechudle Caste,Handloom Work,none,24000.0,4000.0,0,1,1.0,T1,3,400.0,1.0,1.0,Handicrafts,12,50,10000.0
